trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,95.18905799999993,,95.1762179579996,5,95.18905799999993,95.18905799999993,0.008014374999675056,97.1298811659999,[0.25],[-0.13166666666666665],[1],[0],[0],[1.946034458000213],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
56,0,56,0,97.14507799999956,,97.13218870799983,5,97.14507799999956,97.14507799999956,0.008041500000217638,98.64651370799993,[0.4083333333333333],[-0.265],[1],[0],[0],[1.5065523330003998],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
57,0,57,0,98.67094220799981,,98.6487898749997,10,98.67094220799981,98.67094220799981,0.015020667000044341,99.81439695799963,[0.425],[-0.10166666666666667],[1],[0],[0],[1.150992166999913],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
58,0,58,0,99.82956216599996,,99.81661829099994,5,99.82956216599996,99.82956216599996,0.007955708999816125,101.24002716599989,[0.04833333333333333],[0.2916666666666667],[1],[0],[0],[1.4157719169998018],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
59,0,59,0,101.25527162499975,,101.24232404099985,5,101.25527162499975,101.25527162499975,0.007944541000142635,103.37334899999996,[0.19666666666666666],[-0.31666666666666665],[1],[0],[0],[2.123427250000077],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
60,0,60,0,103.38875549999966,,103.37558199999967,5,103.38875549999966,103.38875549999966,0.007972542000061367,104.68002162499988,[0.3283333333333333],[0.06666666666666667],[1],[0],[0],[1.296825416000047],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
61,0,61,0,104.69532066599959,,104.68230995799968,5,104.69532066599959,104.69532066599959,0.008052124999721855,107.00760433299956,[0.3016666666666667],[-0.4816666666666667],[1],[0],[0],[2.317623791999722],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
62,0,62,0,107.02305583299994,,107.00992837499962,5,107.02305583299994,107.02305583299994,0.008060749999913241,109.306727916,[0.2916666666666667],[0.32666666666666666],[1],[0],[0],[2.289060540999799],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
63,0,63,0,109.33101554099994,,109.30902829099978,10,109.33101554099994,109.33101554099994,0.014963542000259622,111.01640954099958,[0.018333333333333333],[0.3983333333333333],[1],[0],[0],[1.6926738329998443],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
64,0,64,0,111.03280416599955,,111.01883816599957,5,111.03280416599955,111.03280416599955,0.00869245800004137,113.20710308299977,[0.255],[-0.19],[1],[0],[0],[2.179985708000004],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
